# Wlen(nm) Flux Flux_err
1.921310016252316473e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921316561248371727e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921323280007270114e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921329787782891572e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921336518509452162e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921343050970250943e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921349719348702138e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921356313738312792e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921362919597350810e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921369576086842017e+03 0.000000000000000000e+00 9.253742427877915588e+01
1.921376119255077811e+03 1.050672556800448092e+03 9.253742427877915588e+01
1.921382838015600782e+03 1.098924243141985698e+03 9.253742427877915588e+01
1.921389345022729913e+03 1.135314453242932359e+03 9.253742427877915588e+01
1.921396072822724591e+03 1.198017993611237443e+03 9.253742427877915588e+01
1.921402606356682327e+03 1.204196610893040315e+03 9.253742427877915588e+01
1.921409271051098131e+03 1.234072170106381918e+03 9.253742427877915588e+01
1.921415867270304943e+03 1.259782508702136965e+03 9.253742427877915588e+01
1.921422468687501123e+03 1.274407816524910231e+03 9.253742427877915588e+01
1.921429127763376982e+03 1.303993849343833062e+03 9.253742427877915588e+01
1.921435665731634572e+03 1.328009905333275583e+03 9.253742427877915588e+01
1.921442387835664022e+03 1.369154621101585917e+03 9.253742427877915588e+01
1.921448894072328585e+03 1.389669454789296424e+03 9.253742427877915588e+01
1.921455615597166116e+03 1.415712863046807797e+03 9.253742427877915588e+01
1.921462153548337255e+03 1.442833067539698732e+03 9.253742427877915588e+01
1.921468811208617353e+03 1.463858538774944009e+03 9.253742427877915588e+01
1.921475412602997949e+03 1.467977235442094980e+03 9.253742427877915588e+01
1.921482006226745852e+03 1.491252430847238202e+03 9.253742427877915588e+01
1.921488671236086702e+03 1.491315613400060329e+03 9.253742427877915588e+01
1.921495200651224650e+03 1.477773107575773565e+03 9.253742427877915588e+01
1.921501929447364319e+03 1.456684577989360150e+03 9.253742427877915588e+01
1.921508434911607310e+03 1.394220203678740972e+03 9.253742427877915588e+01
1.921515146805992345e+03 1.357110386971792423e+03 9.253742427877915588e+01
1.921521692525141134e+03 1.298863787408907456e+03 9.253742427877915588e+01
1.921528339794477688e+03 1.224445797539618525e+03 9.253742427877915588e+01
1.921534949716309711e+03 1.086764102100236869e+03 9.253742427877915588e+01
1.921541532188268320e+03 9.011019589173370150e+02 9.253742427877915588e+01
1.921548206484878392e+03 7.596516285864602196e+02 9.253742427877915588e+01
1.921554723987056150e+03 6.158215387392034472e+02 9.253742427877915588e+01
1.921561462830611845e+03 4.953239147914806040e+02 9.253742427877915588e+01
1.921567967520455340e+03 4.418705417894324228e+02 9.253742427877915588e+01
1.921574666422359087e+03 4.889681617929464323e+02 9.253742427877915588e+01
1.921581223266982533e+03 5.897385332779490454e+02 9.253742427877915588e+01
1.921587856781834489e+03 6.823785678012561675e+02 9.253742427877915588e+01
1.921594478590122662e+03 7.609539075579006067e+02 9.253742427877915588e+01
1.921601046545239342e+03 7.689300374147730963e+02 9.253742427877915588e+01
1.921607733489628799e+03 7.378783814529421079e+02 9.253742427877915588e+01
1.921614237579592555e+03 6.493042098555657731e+02 9.253742427877915588e+01
1.921620986097913374e+03 4.993419531573545669e+02 9.253742427877915588e+01
1.921627491878756246e+03 3.255014552891819335e+02 9.253742427877915588e+01
1.921634174419434885e+03 2.186420475959610030e+02 9.253742427877915588e+01
1.921640745753738656e+03 1.226921367203756432e+02 9.253742427877915588e+01
1.921647362143825831e+03 6.297817938414986116e+01 9.253742427877915588e+01
1.921653999204299907e+03 7.349093866615048398e+01 9.253742427877915588e+01
1.921660549270781758e+03 8.193116105526063109e+01 9.253742427877915588e+01
1.921667252230207851e+03 1.158236844471566940e+02 9.253742427877915588e+01
1.921673755542278059e+03 1.097490817766498310e+02 9.253742427877915588e+01
1.921680485088588284e+03 7.080257199911945065e+01 9.253742427877915588e+01
1.921687007966370629e+03 3.456965255214237942e+01 9.253742427877915588e+01
1.921693670770323024e+03 3.919257876339921154e+01 9.253742427877915588e+01
1.921700259965252371e+03 7.024948316822271011e+01 9.253742427877915588e+01
1.921706855853566140e+03 7.455011950760446382e+01 9.253742427877915588e+01
1.921713511538693183e+03 1.219042797077902236e+02 9.253742427877915588e+01
1.921720040338014769e+03 1.899889308154155856e+02 9.253742427877915588e+01
1.921726762686461370e+03 3.044053719586485727e+02 9.253742427877915588e+01
1.921733265218658289e+03 4.630480308119460346e+02 9.253742427877915588e+01
1.921739972412243787e+03 6.642033017138213609e+02 9.253742427877915588e+01
1.921746515763135676e+03 8.789665164108769204e+02 9.253742427877915588e+01
1.921753155448137250e+03 1.115485795948793111e+03 9.253742427877915588e+01
1.921759765881376097e+03 1.318435694011654732e+03 9.253742427877915588e+01
1.921766337884173254e+03 1.526503720427586586e+03 9.253742427877915588e+01
1.921773015573152406e+03 1.739900663462235116e+03 9.253742427877915588e+01
1.921779519720041890e+03 1.911240781619662130e+03 9.253742427877915588e+01
1.921786264838219950e+03 2.067903206044298258e+03 9.253742427877915588e+01
1.921792766588562699e+03 2.159970349233529760e+03 9.253742427877915588e+01
1.921799448041967707e+03 2.291297533989909880e+03 9.253742427877915588e+01
1.921806015248870835e+03 2.446425501625782090e+03 9.253742427877915588e+01
1.921812628425941284e+03 2.558407941316583674e+03 9.253742427877915588e+01
1.921819263481916551e+03 2.613635602400567223e+03 9.253742427877915588e+01
1.921825808208690660e+03 2.719751255896459497e+03 9.253742427877915588e+01
1.921832511287469515e+03 2.816729354533954847e+03 9.253742427877915588e+01
1.921839012432162008e+03 2.874753236499778268e+03 9.253742427877915588e+01
1.921845733622551961e+03 2.959102292706001208e+03 9.253742427877915588e+01
1.921852259631802099e+03 2.964227037620270494e+03 9.253742427877915588e+01
1.921858911950821721e+03 2.997465936482232337e+03 9.253742427877915588e+01
1.921865506403387599e+03 3.026870369826199294e+03 9.253742427877915588e+01
1.921872089676797032e+03 3.049745009979239057e+03 9.253742427877915588e+01
1.921878752746682267e+03 3.114639732760432253e+03 9.253742427877915588e+01
1.921885266800182990e+03 3.117737992049147124e+03 9.253742427877915588e+01
1.921891998661453954e+03 3.157073028550146773e+03 9.253742427877915588e+01
1.921898499020780037e+03 3.139376253502751297e+03 9.253742427877915588e+01
1.921905188446271268e+03 3.154018429697551710e+03 9.253742427877915588e+01
1.921911744328166378e+03 3.196481898989704860e+03 9.253742427877915588e+01
1.921918364111829987e+03 3.235061582953884681e+03 9.253742427877915588e+01
1.921924989206469490e+03 3.257176659655292042e+03 9.253742427877915588e+01
1.921931539173727288e+03 3.335876282866478505e+03 9.253742427877915588e+01
1.921938233655448357e+03 3.366499593101273604e+03 9.253742427877915588e+01
1.921944733406397290e+03 3.405482344711762380e+03 9.253742427877915588e+01
1.921951457899742991e+03 3.495661685818698970e+03 9.253742427877915588e+01
1.921957977246849396e+03 3.476299268114184997e+03 9.253742427877915588e+01
1.921964631501234408e+03 3.359997289268803797e+03 9.253742427877915588e+01
1.921971220657423828e+03 3.430259891452691591e+03 9.253742427877915588e+01
1.921977804497995294e+03 3.496585161259886263e+03 9.253742427877915588e+01
1.921984463637871613e+03 3.520991448984131239e+03 9.253742427877915588e+01
1.921990976889717786e+03 3.503825109557329142e+03 9.253742427877915588e+01
1.921997706187974927e+03 3.557141224726090513e+03 9.253742427877915588e+01
1.922004205150042026e+03 3.577755098289109810e+03 9.253742427877915588e+01
1.922010891832470406e+03 3.569101737301809862e+03 9.253742427877915588e+01
1.922017447090142014e+03 3.534940774823031916e+03 9.253742427877915588e+01
1.922024062760438710e+03 3.631513098875143442e+03 9.253742427877915588e+01
1.922030688599322957e+03 3.627474413285243827e+03 9.253742427877915588e+01
1.922037233082308603e+03 3.589754519449472355e+03 9.253742427877915588e+01
1.922043929677360893e+03 3.645217513408350442e+03 9.253742427877915588e+01
1.922050428028323040e+03 3.669258466099812267e+03 9.253742427877915588e+01
1.922057145092971723e+03 3.693774350327782940e+03 9.253742427877915588e+01
1.922063668495210095e+03 3.704791886605188211e+03 9.253742427877915588e+01
1.922070313948491275e+03 3.601732028957403600e+03 9.253742427877915588e+01
1.922076908530380933e+03 3.553747137952575940e+03 9.253742427877915588e+01
1.922083482196848308e+03 3.665386109479293737e+03 9.253742427877915588e+01
1.922090148133607499e+03 3.655976580081995507e+03 9.253742427877915588e+01
1.922096649837714494e+03 3.646301616242157706e+03 9.253742427877915588e+01
1.922103387304645821e+03 3.702538717753753645e+03 9.253742427877915588e+01
1.922109884863200477e+03 3.740093451308538079e+03 9.253742427877915588e+01
1.922116558049580817e+03 3.718061040192072142e+03 9.253742427877915588e+01
1.922123123421622495e+03 3.717895231449333551e+03 9.253742427877915588e+01
1.922129724220754952e+03 3.776677576709452751e+03 9.253742427877915588e+01
1.922136361547291699e+03 3.782473890679181295e+03 9.253742427877915588e+01
1.922142889783387545e+03 3.757559499415227492e+03 9.253742427877915588e+01
1.922149599239983900e+03 3.736145542376581488e+03 9.253742427877915588e+01
1.922156096184700800e+03 3.769401804427138813e+03 9.253742427877915588e+01
1.922162795051126068e+03 3.745487971081535306e+03 9.253742427877915588e+01
1.922169333263612089e+03 3.687484541913975590e+03 9.253742427877915588e+01
1.922175959141456360e+03 3.651952504239977316e+03 9.253742427877915588e+01
1.922182569908982487e+03 3.669717054002316218e+03 9.253742427877915588e+01
1.922189122622173272e+03 3.435709460380837299e+03 9.253742427877915588e+01
1.922195806120567113e+03 3.346998853193284958e+03 9.253742427877915588e+01
1.922202302450256411e+03 3.336298908402387497e+03 9.253742427877915588e+01
1.922209024940537574e+03 3.155844271282884165e+03 9.253742427877915588e+01
1.922215538046924394e+03 2.876885492769544726e+03 9.253742427877915588e+01
1.922222186946359216e+03 2.527435153380119118e+03 9.253742427877915588e+01
1.922228773209241808e+03 2.228550762595803008e+03 9.253742427877915588e+01
1.922235348341499275e+03 2.029899389998638981e+03 9.253742427877915588e+01
1.922242007936976961e+03 2.008015785836562372e+03 9.253742427877915588e+01
1.922248509125644432e+03 2.163494399951728610e+03 9.253742427877915588e+01
1.922255242229896794e+03 2.483725606704777874e+03 9.253742427877915588e+01
1.922261737762101802e+03 2.796167582694551584e+03 9.253742427877915588e+01
1.922268407622852465e+03 3.034345004682608760e+03 9.253742427877915588e+01
1.922274971438619104e+03 3.283220971993367129e+03 9.253742427877915588e+01
1.922281566928746997e+03 3.411175416783620221e+03 9.253742427877915588e+01
1.922288204679756518e+03 3.600789992256636197e+03 9.253742427877915588e+01
1.922294725622580017e+03 3.732344625358674421e+03 9.253742427877915588e+01
1.922301437485274846e+03 3.801798332183682760e+03 9.253742427877915588e+01
1.922307932399709443e+03 3.820242083652770816e+03 9.253742427877915588e+01
1.922314621158337786e+03 3.846917400672688473e+03 9.253742427877915588e+01
1.922321164587668818e+03 3.880912874546376770e+03 9.253742427877915588e+01
1.922327778371306977e+03 3.947618367367814244e+03 9.253742427877915588e+01
1.922334396339448631e+03 4.050747889857523205e+03 9.253742427877915588e+01
1.922340934971148499e+03 4.118408151906951389e+03 9.253742427877915588e+01
1.922347627654808321e+03 4.118847538219268245e+03 9.253742427877915588e+01
1.922354121950275612e+03 4.124904718106186920e+03 9.253742427877915588e+01
1.922360827540188211e+03 4.103957957743861698e+03 9.253742427877915588e+01
1.922367352646931522e+03 4.070186277995212095e+03 9.253742427877915588e+01
1.922373982656562248e+03 4.070100702528229704e+03 9.253742427877915588e+01
1.922380582906595919e+03 4.151131774099771974e+03 9.253742427877915588e+01
1.922387137158725409e+03 4.133274386281869738e+03 9.253742427877915588e+01
1.922393812729041429e+03 4.200072451135226402e+03 9.253742427877915588e+01
1.922400306404345656e+03 4.180265598020668222e+03 9.253742427877915588e+01
1.922407026755773586e+03 4.274159060459149259e+03 9.253742427877915588e+01
1.922413535606935739e+03 4.276945826320996275e+03 9.253742427877915588e+01
1.922420179771871517e+03 4.293819262788478227e+03 9.253742427877915588e+01
1.922426764371732361e+03 4.248327529700567538e+03 9.253742427877915588e+01
1.922433332172694008e+03 4.167490460654051276e+03 9.253742427877915588e+01
1.922439992698509514e+03 4.029541744956000457e+03 9.253742427877915588e+01
1.922446485752451736e+03 3.890064936029807996e+03 9.253742427877915588e+01
1.922453218792466259e+03 3.880926083920287510e+03 9.253742427877915588e+01
1.922459713458212946e+03 3.981899975719419217e+03 9.253742427877915588e+01
1.922466369704602812e+03 4.083799569709797652e+03 9.253742427877915588e+01
1.922472940725384433e+03 4.179528914220342813e+03 9.253742427877915588e+01
1.922479520000396406e+03 4.212559795927150844e+03 9.253742427877915588e+01
1.922486167553727910e+03 4.211486780911755886e+03 9.253742427877915588e+01
