# Wlen(nm) Transmission Continuum
1.921310016252316473e+03 1.559540395971377169e-01 7.898215724799595591e+03
1.921316561248371727e+03 1.627260621550462860e-01 7.903248381821698786e+03
1.921323280007270114e+03 1.717134862637438864e-01 7.908404081946920996e+03
1.921329787782891572e+03 1.816257535251548094e-01 7.913387683626482612e+03
1.921336518509452162e+03 1.917547209107708095e-01 7.918531471862632316e+03
1.921343050970250943e+03 2.017721525099180624e-01 7.923513494268365321e+03
1.921349719348702138e+03 2.115428876110972412e-01 7.928588774764330083e+03
1.921356313738312792e+03 2.210494486191382224e-01 7.933597419125717352e+03
1.921362919597350810e+03 2.302753379054938987e-01 7.938604491939730906e+03
1.921369576086842017e+03 2.392280911616832817e-01 7.943639540715649673e+03
1.921376119255077811e+03 2.479566755269706768e-01 7.948578706311172027e+03
1.921382838015600782e+03 2.565394175996067450e-01 7.953639941540637665e+03
1.921389345022729913e+03 2.650282027240115634e-01 7.958531552943321913e+03
1.921396072822724591e+03 2.733799460722304286e-01 7.963578693902160921e+03
1.921402606356682327e+03 2.814888517622888275e-01 7.968469938687751892e+03
1.921409271051098131e+03 2.892591843295125864e-01 7.973449070894699616e+03
1.921415867270304943e+03 2.966502171357020545e-01 7.978366808931544256e+03
1.921422468687501123e+03 3.036565209583696467e-01 7.983278235859270353e+03
1.921429127763376982e+03 3.102783789291698180e-01 7.988222246147793157e+03
1.921435665731634572e+03 3.165047831972935821e-01 7.993066271656608478e+03
1.921442387835664022e+03 3.223107526727279071e-01 7.998036332787556603e+03
1.921448894072328585e+03 3.276630773846304079e-01 8.002836765541954264e+03
1.921455615597166116e+03 3.325114314355814837e-01 8.007785696505255146e+03
1.921462153548337255e+03 3.367904139309963463e-01 8.012589387986238762e+03
1.921468811208617353e+03 3.404148182668886857e-01 8.017470831557723614e+03
1.921475412602997949e+03 3.432804044187077741e-01 8.022300864981659288e+03
1.921482006226745852e+03 3.452547533802148849e-01 8.027115127947371548e+03
1.921488671236086702e+03 3.461691491411909571e-01 8.031971278944083679e+03
1.921495200651224650e+03 3.457957760728086472e-01 8.036718668436956250e+03
1.921501929447364319e+03 3.438240699158426894e-01 8.041600712266380469e+03
1.921508434911607310e+03 3.398290662366902359e-01 8.046310777522251556e+03
1.921515146805992345e+03 3.332460360355921636e-01 8.051160068013768978e+03
1.921521692525141134e+03 3.233320051688564067e-01 8.055879297185424548e+03
1.921528339794477688e+03 3.091652600144439988e-01 8.060661643550942244e+03
1.921534949716309711e+03 2.897151291209626445e-01 8.065407041208090050e+03
1.921541532188268320e+03 2.641284539088101235e-01 8.070122753428734541e+03
1.921548206484878392e+03 2.324178819867117052e-01 8.074894091943648164e+03
1.921554723987056150e+03 1.964553237316391532e-01 8.079543480346095748e+03
1.921561462830611845e+03 1.609290858888789977e-01 8.084340531733033458e+03
1.921567967520455340e+03 1.330574195776821345e-01 8.088961040132152448e+03
1.921574666422359087e+03 1.199459387480440176e-01 8.093709389812877816e+03
1.921581223266982533e+03 1.241758608713704470e-01 8.098347116445173924e+03
1.921587856781834489e+03 1.415953972698504870e-01 8.103029086706816997e+03
1.921594478590122662e+03 1.636393492773569047e-01 8.107692786677886943e+03
